Area,Year,CAL,CAM,CAH,CAC,CAcv
ea,1983,4.669,7,9.331,3,0.2
ea,1984,6.67,10,13.33,3,0.2
ea,1985,8.004,12,15.996,3,0.2
ea,1986,9.338,14,18.662,3,0.2
ea,1987,10.672,16,21.328,3,0.2
ea,1988,12.006,18,23.994,3,0.2
ea,1989,13.34,20,26.66,3,0.2
ea,1990,15.341,23,30.659,3,0.2
ea,1991,16.675,25,33.325,3,0.2
ea,1992,20.01,30,39.99,3,0.2
ea,1993,26.68,40,53.32,3.322,0.2
ea,1994,33.35,50,66.65,2.276,0.2
ea,1995,42.021,63,83.979,8.522,0.2
ea,1996,36.685,55,73.315,4.514,0.2
ea,1997,20.01,30,39.99,3.228,0.2
ea,1998,3,3,3,0.391,0.4
ea,1999,0,0,0,0.01,0.2
ea,2000,0,0,0,0.01,0.2
ea,2001,0,0,0,0.01,0.2
ea,2002,0,0,0,0.01,0.2
ea,2003,3.2,3.2,3.2,0.3,0.28
ea,2004,2.8,2.8,2.8,0.1,0.21
ea,2005,1.8,1.8,1.8,0.1,0.23
ea,2006,3.5,3.5,3.5,0.2,0.16
ea,2007,4,4,4,0.2,0.19
ea,2008,4,4,4,0,0.2
ea,2009,4,4,4,0.7,0.2
ea,2010,4,4,4,0,0.2
ea,2011,4,4,4,0,0.2
ea,2012,4,4,4,0,0.2
ea,2013,4,4,4,0,0.2
ea,2014,4,4,4,0,0.2
ea,2015,4,4,4,0,0.2
ea,2016,4,4,4,0,0.2
ea,2017,4,4,4,0,0.2
ea,2018,4,4,4,0,0.2
ea,2019,4,4,4,0,0.2
ea,2020,4,4,4,0,0.2
nw,1983,8,12,16,12,0.154
nw,1984,8.67,13,17.33,12,0.154
nw,1985,9.34,14,18.66,12,0.154
nw,1986,10.01,15,20,12,0.154
nw,1987,10.67,16,21.33,12,0.154
nw,1988,11.34,17,22.66,12,0.154
nw,1989,12.01,18,24,12,0.154
nw,1990,12.01,18,24,12,0.154
nw,1991,12.67,19,25.33,12,0.154
nw,1992,12.67,19,25.33,12,0.154
nw,1993,13.34,20,26.66,9,0.154
nw,1994,13.34,20,26.66,5.1,0.154
nw,1995,13.34,20,26.66,12.8,0.154
nw,1996,12.01,18,24,15.6,0.154
nw,1997,10.01,15,20,12.4,0.154
nw,1998,8.14,12.2,16.26,4.8,0.139
nw,1999,7.24,10.9,14.46,0.7,0.15
nw,2000,6.34,9.5,12.66,1.7,0.172
nw,2001,5,7.5,10,2.5,0.132
nw,2002,9.67,14.5,19.33,1.8,0.134
nw,2003,3.82,5.7,7.63,1.6,0.176
nw,2004,5.15,7.7,10.28,2,0.125
nw,2005,3.07,4.6,6.14,0.8,0.177
nw,2006,3.58,5.4,7.16,1.7,0.162
nw,2007,3.8,3.8,3.8,1.8,0.214
nw,2008,4,4,4,1.9,0.2
nw,2009,4,4,4,0.5,0.2
nw,2010,4,4,4,0.4,0.2
nw,2011,5,5,5,0,0.2
nw,2012,5,5,5,0,0.2
nw,2013,5,5,5,0,0.2
nw,2014,5,5,5,0,0.2
nw,2015,5,5,5,0,0.2
nw,2016,5,5,5,0,0.2
nw,2017,5,5,5,0,0.2
nw,2018,5,5,5,0,0.2
nw,2019,5,5,5,0,0.2
nw,2020,5,5,5,0,0.2
sw,1983,11.34,17,22.66,4,0.15
sw,1984,11.91,17.9,23.79,4,0.15
sw,1985,12.47,18.7,24.93,4,0.15
sw,1986,13.04,19.6,26.06,4,0.15
sw,1987,13.61,20.4,27.19,4,0.15
sw,1988,14.17,21.3,28.33,4,0.15
sw,1989,14.74,22.1,29.46,4,0.15
sw,1990,15.31,23,30.59,4,0.15
sw,1991,15.87,23.8,31.73,4,0.15
sw,1992,16.44,24.7,32.86,4,0.15
sw,1993,17.01,25.5,33.99,4,0.15
sw,1994,17.58,26.4,35.12,4,0.15
sw,1995,18.14,27.2,36.26,4,0.15
sw,1996,18.71,28.1,37.39,4,0.15
sw,1997,19.28,28.9,38.52,4,0.15
sw,1998,20.01,30,39.99,0.5,0.144
sw,1999,16.68,25,33.33,0.3,0.179
sw,2000,13.34,20,26.66,0.3,0.151
sw,2001,15.34,23,30.66,0.3,0.087
sw,2002,12.67,19,25.33,0.3,0.099
sw,2003,1,1.5,2,0,0.251
sw,2004,0.6,0.9,1.2,0,0.272
sw,2005,1.53,2.3,3.07,0,0.448
sw,2006,1.33,2,2.67,0,0.268
sw,2007,1.6,1.6,1.6,0,0.517
sw,2008,2,2,2,0,0.45
sw,2009,2,2,2,0,0.45
sw,2010,2,2,2,0,0.45
sw,2011,2,2,2,0,0.45
sw,2012,2,2,2,0,0.45
sw,2013,2,2,2,0,0.45
sw,2014,2,2,2,0,0.45
sw,2015,2,2,2,0,0.45
sw,2016,2,2,2,0,0.45
sw,2017,2,2,2,0,0.45
sw,2018,2,2,2,0,0.45
sw,2019,2,2,2,0,0.45
sw,2020,2,2,2,0,0.45
