Area,Year,DEPML,DEPMM,DEPMU,DEPMcv,DEPMsd
ea,1997,0,0,0,0,0
ea,1998,0,0,0,0,0
ea,1999,24.46784215,46.38916789,78.71556878,0.292351259,13.56193166
ea,2000,27.52286034,44.37375365,67.26941305,0.22393053,9.936638176
ea,2001,21.27327054,34.6612486,54.82484395,0.241996284,8.387893351
ea,2002,15.15170823,42.37528703,80.02540911,0.382733106,16.21842522
ea,2003,22.29021928,41.42822974,72.58573262,0.303509911,12.57387833
ea,2004,13.01419129,37.41674304,79.47432978,0.444053471,16.61503462
ea,2005,0,0,0,0,0
ea,2006,0,0,0,0,0
ea,2007,0,0,0,0,0
ea,2008,0,0,0,0,0
ea,2009,37.24286781,71.37696443,119.3024983,0.287416364,20.51490761
ea,2010,0,0,0,0,0
ea,2011,0,0,0,0,0
ea,2012,21.70369425,36.7077246,55.93085933,0.233106011,8.556791271
ea,2013,0,0,0,0,0
nw,1997,0,0,0,0,0
nw,1998,18.38241704,35.02954196,62.32571505,0.313615991,10.9858245
nw,1999,16.59001669,32.14601348,57.20532235,0.315865805,10.15382642
nw,2000,56.5205579,142.3691672,296.6229626,0.421619388,60.02560118
nw,2001,14.43461402,34.98743532,96.67721138,0.587658088,20.56064934
nw,2002,25.80766195,67.57822857,144.4781782,0.439011641,29.66762905
nw,2003,34.60503141,67.93765383,127.0218119,0.340079379,23.10419512
nw,2004,0,0,0,0,0
nw,2005,0,0,0,0,0
nw,2006,0,0,0,0,0
nw,2007,0,0,0,0,0
nw,2008,0,0,0,0,0
nw,2009,0,0,0,0,0
nw,2010,13.25806705,35.40872873,70.9252847,0.407153968,14.41680441
nw,2011,0,0,0,0,0
nw,2012,0,0,0,0,0
nw,2013,26.20149745,64.64416887,132.1426965,0.409709031,26.48529976
sw,1997,0,0,0,0,0
sw,1998,5.139307306,29.28427784,69.14871827,0.546448604,16.00235274
sw,1999,9.859365597,21.64740604,42.53421832,0.37735298,8.16871318
sw,2000,5.052749736,20.04965267,44.75320981,0.495026781,9.925115019
sw,2001,4.144353518,10.64016517,25.32685512,0.497701428,5.295625401
sw,2002,13.15340044,32.47360661,70.68015411,0.442873149,14.38168842
sw,2003,0,0,0,0,0
sw,2004,3.191425593,8.960908167,18.30386311,0.421621259,3.778109379
sw,2005,0,0,0,0,0
sw,2006,23.01222782,42.71486196,76.11643214,0.310806367,13.27605108
sw,2007,8.471777085,20.52778403,39.55153797,0.378508475,7.769940221
sw,2008,0,0,0,0,0
sw,2009,0,0,0,0,0
sw,2010,11.05232053,20.40352298,33.32376713,0.272887268,5.567861651
sw,2011,0,0,0,0,0
sw,2012,0,0,0,0,0
sw,2013,8.777566836,20.15261315,36.10488442,0.339004642,6.831829396
